id,summary
988494,Makes shulker boxes push the block over them up
1016940,"Play Minecraft like never before! With the SiZed challenge you grow every time you destroy a block or kill an entity. Very basic, but worth a try!"
958549,Mobs disapprove of you after you kill their friends
983459,Adds silk cloth and armor
1003008,You can be a silly guy
1015746,A Minecraft Mod that adds Cybermen to your world!
992029,given all guns a camo skin
941073,A simple mod that adds a few different backpacks
994836,Simple Bandages is a bare bones bandage mod for all your bandaging needs.
1016651,A better campfire recipe
1003636,Funny captcha mod to prank your friends :)
939830,"Makes players unable to use commands, elytra and most importantly disconnect during a fight!"
912025,A simple little mod about adding Cotton Candy!
920815,A Minecraft food extension
1028066,Ever wanted to just cook a god damn mushroom? Now you can. 
978532,"Remove the hunger bar, your food now heals you!"
946789,This mod adds a resource generator for the OneBlock client/server
952261,"Use Paxels for easier handling of Strip, Plow and Path."
930351,Wood > Stone > Iron > Diamond
1007909,Start your adventure off on the right foot with our 'Simple Starter' mod!
984974,This is a mod that adds staffs that you can upgrade with elemental gems. it's very simple (we reccomend to play this mod with JEI)
959864,simplebackpacks
1015111,Hello and welcome to a simple mod bag currently there is 1 type but there will be more eventually
1004615,"Adds in an item, and several commands to add a functional economy. "
942495,Simplifies those long annoying commands!
977316,SimplyLock - Enhance vannila experience with Chest Locker
999352,Adds an aquatic element of realism to Minecraft!
935574,Allows you to see yours and others pronouns in Minecraft.
953863,An addon for the LevelZ mod to better integrate it into the Singh modpack
1007929,This mod is mod from Siryakari videos with some my things. Function on versions 1.19.2/1.19.4/1.20.1
954942,A library for easy creation of client-side commands and features using Java's annotation system.
913176,Permet sur le serveur SkySword de suivre depuis HUD les challenges
1000404,Adds Skylander figures to collect
1021215,This mod allows you to spend the night without needing a bed!
1018705,This mod adds in the Slenderman game into Minecraft
984687,Adds classic Slime Boots and Slime Sling from Tinkers.
1015113,Basic road blocks for Minecraft 1.16
999924,Gives mining fatigue when mining a block that you're inside
986131,"As the name implies, allows rough raw blocks to be refined as they are."
1015074,Adds various minions to the game
1011769,Chance to get hit by lighting when a entity dies
984710,A mod that allows the use of the old smithing table
978941,New Smithing Templates to craft other vanilla armor and tools. Ideal for a more challenging experience. ✨
910614,this adds smooth blocks that may just get the FBI after you lol (joke)
1018232,Makes door opening/closing animations smooth.
998729,5 news mobs-5 Nuevos Mobs
905035,Allows players to snort.
902039,A stupid mod that makes snowballs place snow
1005956,A strange dimension to escape into...the Overworld?
999729,This is a simple mod to improve tooltip in minecraft
1023021,A mod that adds an unbreakable sword of iron tier
1026671,A Solo leveling craft is a simple mod that adds some Solo leveling features.
991945,Adds Sophisticated versions of the Vault Hunters chests and barrels for the new wood types.
984477,Explore new Glowing Mushroom Fields biome!
966030,Convert Soul Sand Directly to Soul Stone Instead
930869,Adds natural spawning zombie horses and wither skeleton horses.
982032,Quest Mod for modpack Soulscraft
982028,Tweaks for modpack Soulscraft
961146,A mod that allows fast travelling through the use of new blocks and items. 
996813,A mod that adds in various items and more from my space stories
961649,Easy Spawn/SetSpawn mod where you can set a spawn location!
975368,Delete Spawners from Servers and Stuff
1013496,Technology and SCI-FI based mod.
987315,Makes minecarts 25% faster and removes water slowdown
970158,"The Speedy Blocks mod introduces a set of blocks designed to enhance player mobility and efficiency in Minecraft. These blocks, crafted with common materials, provide a temporary speed boost to players upon interaction. When walked upon or activated, the b"
980585,Speeds up cooking speed edible items
984929,This mod is about a dimension called Mystiogen leaking into the overworld. With it comes new custom and magical resourses.
1006037,A extensively customizable stamina system.
959331,"Don't you hate not being able to craft certain thing? Well worry not, because Squid's Craftables now lets you craft those pesky items."
1014101,"A small mod that adds something new to annoy your friends, its new recipe , and a new slime drop,"
902694,A fabric mod that adds a few miscellaneous items 
967591,"Allows Mushroom soup, rabbit soup, and beetroot soup to stack to 64"
949917,Craftable Staffs With Separate Abilities 
1003916,Block to stair
929531,See the inventory of other players (server-side).
1013587,Star Trek Mod by Menace Studios
980198,"Adds better and worse variations of the ""Golden Apple"" into the game"
1027569,This mod is a an addon for the origins mod and adds the starborne origin.
998801,Fix crash when starlight and AE both installed
948655,"Adds a simple starter-pack to the game, consisting of an ion sword, an iron axe, and 16 steak."
1000388,Automatically load the last played world once Minecraft starts
1028041,"Steampunk technology with unique machines, vehicles, robots and more."
1027825,Adds recipes to the mod Steel armor blocks
1022728,Adds steel items to the game.
985311,Mod that allows you to make battles with stickmans like in Stick War game !
1006670,"Adds things from FaverMySabres Steve Saga, Rainbow Quest and Twisted Rainbow. as well as my up coming series. Enjoy!"
957173,From one stone to another!
1016130,This mod adds a few more blocks. They are purely made for their porperties and production. 
1019190,Furnace variant that smelts stones faster
959800,"A stone shovel in disguise as Sandy Shoveli, blending seamlessly into its surroundings while providing unparalleled digging prowess."
976413,Adds a mining dimension where you can mine
974176,Fix `ConcurrentModificationException` in `StructureManager#get` method
987200,This mod adds structures to the desert biome
930897,A mod that creates subtle spooky effects.
958754,Combine sugar with concrete powder and prevent it from harden when touching water
984718,"A fish, tools and armor"
991215,A minimalistic mod adding a simple mechanic for sifting.
977666,providing an infinite water source.
908659,Next generation of minecraft
996927,A simple loot system change to help with Superflat+ modpack
1011641,It is a supplementary mod and provides several complementary equipment.
992123,"Adding a semi-realistic gunpowder recipe, niter, and sulfur."
1026220,"Experience the ancient civilization-themed mod featuring jams, jam production mini-game, bosse, and much more"
974016,🐎 A small buff for your Horse Armors
962925,Provides control over how and when hand swinging animations are sent
971802,Fixed version of TAIGA
1009068,More videogame music discs!
980404,adds a tesco club card
1027711,Knapsacks and Backpacks for Terrafirmacraft
1006362,Port of SeriousCreeper's 1.18 TFC Barrel addon to TFC 1.20. Adds vanilla-style barrels for each wood type.
1016205,System debark wood for TerraFirmaCraft
1016624,new system for producing wood lumbers
1004530,"new technologies for double ingots, double plates (welding) -  plates, ingots (hammering)  wires, rods (rolling)"
1006252,Modded tweaks for the The great silence mod pack.
1026551,its a dude thats tall and if you know seek from roblox doors he like him but slower if that not good im going to make it better
979009,TLC Economy adds Dollars and a few other things.
1002829,"Minesweeper, BUT IN MINECRAFT!"
966229,A small teleportation mod made for Project Artia
974384,"Client-side mod for Minecraft that aims to make the multiplayer chat interface more organized, managable, and user-friendly. This fork fixes a few bugs."
992743,"A mod adding new materials, biomes and mobs to the game."
899941,Adds a keybind to show an item's tags in its tooltip. Handy for tag-based sorting systems and debugging!
1027634,"New Alien Invasions, Artifacts, Acid Rain, and More Events"
996163,A mod made for decoration blocks and weapons for a dnd campaign
1006850,Music Villager is a Minecraft Forge modification aims to add music related items and villager professions.
1025975,Adds music disks for teardown part one (jei/rei recomended)
1005560,Adds compatibility between TechReborn's Quantum Armor flying and PAL
900302,A Nice Tech Mod that helps Players Get Materials and Create Farms
955889,Short-lived axes with useful attributes
1027625,Some intersting Accessories reproduced from Terraria
910053,"Terrapotions mod seamlessly integrates iconic Terraria potions and effects into Minecraft, creating a captivating crossover experience that combines the best of both worlds."
991141,TerrariaCraft addon which allows players mine veins of ores with a key!
1006658,"This Mod Add ""Terrarium"" and other."
909218,Adds teto into the game
1009565,Adds tetra compatible to multiple mods
995070,This simple allows you to put custom text on your screen!
1017785,Tells time In the chat
995938,With this April Fools mod villagers will kick you out of bed if they want to sleep
968051,"A mod made for ThatWinterLemon featuring cool new mobs, end game level tools and a bunch of other cool stuff! Mod will be updated accordingly to add any features I feel fit in and make Lemon's presence more known throughout your world!"
1017866,An addon to the origins mod that adds the Adventurer.
1008245,Adds the Aether but it's based off of all of the rumors from back in 2014.
1009021,"The Post Apocalypse, Made Easy (for Modpack developers)"
956539,Add Special Items from the Aquatic Update to 1.20
971265,A mod designed for most or all blocks in Minecraft to be accessible in super flat
1012362,"This mod features a new dimension called the ""Wastelands"""
965194,burger chases you
1024840,Steve... Can you read me? I think we've got a new dimension to explore. Have you come to test it out?
1012593,"In a world that had been washed over by Destruction where everything that was known had been lost. Years later had mostly gone away except for small parts of the world and in those parts, people found out about a weapon that could change everything..."
1028014,Upgrade your body for useful benefits
975392,A Mistborn inspired Origin
966371,Mod about my friends and their tools//ores//guns
919212,Step into a new Nether-like dimension...
1012359,"The New Dimension with mobs,atmosphere and forest"
963703,This mod added a five donuts
956885,Generate a cube of every tropical fish variant in Minecraft!
1028053,A Mod that adds a Follower you can hire and level up their skills.
1011741,Become a furry in minecraft
994408,A Nether Expansion with one new mob and one new biome
969721,Adds a new crafting table that's able to craft uncraftable items like the end portal frame.
1018038,Something is following you during the nights... 
985423,Adds an item to pinch peoples gyat (but)
1027236,A mod that adds two scarecrow bosses that drop scythes!
1025278,Yet Another Dweller
1016978,A very bulked up dweller ready to rampage on your world
978886,Its a dash mod lol
923502,The mod adds 2 biomes and 2 warring sides
991404,a mod that adds the master sword and other stuff from zelda
990094,Collect unique mcguffins and exploit their powers!
373016,Compagny for TMP
974702,"Vanilla+ mod adding new mobs, blocks and items to improve the nether"
1026349,"Made by SoskeTDP, adds new ore dimensions as well as new tools"
926815,"This mod adds a light, but razor sharp weapon to the game."
981916,"This Mod adds New Items, and a Few weapons, With NEW ORES TO FIND"
1007538,This is a Rainbow mod
957206,Adds some useless items for Roleplaying
979610,Adds a terrifying mob called the smiler and it only spawns in the nether.
1025665,I was challanged to create a mod. so here it is...
1012962,"Adds a multi-difficulty enemy that can jump, dig, and build."
1012527,The foundations mod for The Zombie Apocalypse 7 and The Zombie Apocalypse X: The Ones Who Live.
973248,"one new gauntlets, a new ore a castle and much more!"
958827,Patched version of Thermal Golems Addon to work with Extra Golems 7.1.9
1003562,This makes it possible to rob the Villagers
1003549,Simply an addition of the Systemzee thumbnails
1016230,A friendly entity which heals and protect the player
974356,"Adds reforgable quality tiers to armors, weapons and tools"
943263,Get an OP Time Staff and discover the new ore: Time.
943960,Simple API Library Mod used for Tiab
925916,Set your Time!
1024760,This mod add a count down for the game for each player
1017219,Changed recipes from TaC to make them more survival-friendly and balanced.
1028108,The most Immersive and Customizable modern FPS experience in Minecraft - A complete Remaster of the TaC gun mod by the original team.
958820,Patched version of Tinkers Golems Addon to work with Extra Golems 7.1.9
942835,A Tinkers' addon that adds a sabre
1012372,This mod adds tiny little Creepers to the game!
1001037,Adds Multiple New Unique Weapons In Game
990872,Expand the Deep Dark
976860,"Adds new monsters to the game, you can't survive at night!"
1022137,This mod adds more more and tools to your game!
1012571,This mod adds 25 new and unique shovels to the game.
1018256,A mod that adds many new tools that allow for new variation in fighting and general fun features
997579,Quickly pin and store tooltips!
1020747,Adds new items to allow you to wear torches and lanterns on your hip!
1003284,This mod contains things from game named Total War Warhammer.
977635,Introduce new totems with unique effects
933340,Best way to craft a totem of undying (hard way)
900748,A mod that adds obsidian tools and armor into Minecraft.
987595,🔎 Check villager's trades without opening their inventory
959164,"This mod adds a new villager, minting table and copper coins"
1027566,"Tranquil is a beta liminal dimension mod, created for the MCreator x CurseForge ModJam 2024"
985339,"A Simple Minecraft Mod Created To Have A Lot More Decoration And Fun Things! Implrementing New Buildings, Furniture, Plushies And A Lot More! Even Comes With A Tiny Bit Of Lore Of How The Plushies Became A Thing! W.I.P"
910058,Simple mod for deleting useless items
1004991,Official mod of the Democratic Republic of Tratwia server
960430,Adds boots that increases your step height.
1023251,A new tooltype that focuses on assisting with vertical movement and helping negate small instances of fall damage.
988785,A library mod for SWEM tack addons to use
919194,A treasure hunting mod with clues
965285,Some custom trees for Minecraft that only spawn in Supeflat
902595,"Tsword, a mod with allot of different content to discover."
967532,Tunahan's Weporany
909721,A very simple mod that adds spawn teleportation commands.
976682,"Throw vegetables at enemies, just like in Super Mario Bros. 2!"
900615,This mod adds many types of different isopods that you can tame and pickup in a bucket.
967375,Some useful and abnormal enchantments I thought suited Minecraft
910807,An integration mod between the Silent Gear mod and the Twilight Forest mod.
1028022,This Two-Headed Entity has been found in your Minecraft World
970408,Export un-internalization text to translation key and retain text.
935992,"A mod making the uncraftable, craftable!"
985068,Adds Ultimate Iron Man Mode to Minecraft
988431,Adds a crafting recipe for Netherrack
988441,"Adds features based on the Warhammer 40k wargame,"
238221,Modded Puzzle map
980763,"New armor, swords, blocks and money "
1003684,"Adds Ultra Pearls to the game, an unlimited-use teleportation item."
978711,Uncraftable Money to give out in servers
979642,A mod for Mekanism to help with processing Waste
971189,This mod endows creepers with the ability to morph into bees 🐝
986655,Unbreakable (hard as bedrock) vanilla blocks
969884,A brief mod that should make exploring minecraft world less monotone!
945765,A small mod to give the player random spawn eggs
1001054,This Mods Makes Uncraftable Items Craftable With New Items
1003315,He adds new types of zombies and adds zombie infections
970825,This mod make mobs get progressively more powerful
915421,Automatically adds tags to items that meet certain conditions.
903671,An automatic & stable fully automatic unlimited trading module
902831,Things that really don't need to be in the game but I thought they would be cool.
913179,some unsorted origins
953515,Too many powerful enchantments can make you go BOOM!
966168,Use system lang if it wasn't set.
983242,Finally adds Copper Armor and Tools
956423,this mod adds useful tools
992481,"This mod adds Uranium, along with a Nuclear Pickaxe."
992487,This mod adds a new Nuclear Sword
1012263,"A vanilla plus mod adding new items, blocks and even mobs that enhance vanilla gameplay"
977023,Funny DOOM sword
998905,Tools of the Sun God
979076,Vanity Pack - Black Metal Weapons
999201,Now You can smoke in the  game!
946609,A small mod that sync server config files with all players
943320,Prevents cake vault submission pedestals from being consumed on use.
976591,A props mod for my modpack
979897,And Enderite tools and Armour
975458,Adds OP Wooden Tools to the game
1013256,"Unleash your inner miner and embark on a legendary quest through towering peaks, fiery depths, and enchanted forests to unearth rare ores, forge powerful tools, and become the ultimate master of your Minecraft world!"
974671,Breeding villagers takes a lot of effort - This mod fixes that.
952017,Death is the key to your survival!
988311,Make cooldown of shield visible.
899764,This mod adds a couple of cool scythes to minecraft.
1018124,New boss Vizer new blocks and new bioms
971952,"Just a void dimension to force ""gamemode adventure"" when the player is in it."
984356,Adds decorative blocks featuring the end portal shader effect
993046,A new ore for your minecraft game.
1021470,"This mod adds a Jello dimension full of Jello, Jello trees, Jellostone, and more!"
973580,The Vortex Manipulator - Save three waypoints and use them six times.
932746,Some tweaks for Vvanderfell modpack.
992038,The nature of minecraft comes back
1026779,A mod that aims to includes additions to all aspects.
995203,Adds Mobs that help and protect you and a new Ore
992568,Figure out what stage of the day your villagers are in
975930,"A mod about making chocolate, intended for use in Statech Industry"
899021,A mod that adds more fun unique movement to the game!
1014592,"A mod that adds things you can find at Walmart, but also discontinued stuff"
972703,"This mod adds Builders and Exchanging Wands for streamlined building and block swapping, customizable through config."
1011001,Adds japanese ronin into the game to add more atmosphere to the world!
1000514,"A mod that lets Wandering Traders trade Villagers and vice versa, and adds a whole bunch of other new trades!"
948887,"Warden now is useful to kill, finally."
1002035,A mirror that allows you to teleport to a set point you choose
945807,A Creepy Disturbing Biome awaits...
988584,"An addon for thirst was taken, now you can collect water from cacti with terracotta bowls."
915026,This mod will add wax blocks (beta mod)
957098,Add melee weapons to your adventure!
1014125,A mod where you can cook just as good as Waltuh can!
967283,More Weapons
1026075,A Mod that adds some Cool Melee Weapons!
1026651,A mod that add a lot of new legendary weapons and bubbles to become stronger.
926435,Change your Weather!
1002026,A device that allows you to change the weather
1001504,This mod adds the Werewolf as a mob.
986261,Weapons from Western / Wild West
991355,This is a mod that adds endgame content for ores
1022007,"A mod that adds ores, tools, weapons and armour."
959745,Fixes mojang API changes breaking the whitelist on 1.7.10
946222,Adds a winged sword that makes your enemies levitate
1018134,Wolfed Enchantments adds some new enchantments to the game for the regular enchantment table 
1008050,An expansion to Wither Skeletons and the Wither. 
918841,"Use Shears on Logs to obtain Wood Fibers, then craft Paper!"
982831,An Odde mod that adds some new wood types!
1027415,Adds armor to minecraft we wish we had
989156,Turn wool into string
1014062,"Adds more crafting recipes for wool, string and feathers"
985844,Lets you do more crafting with wool
942865,This mod adds some special wands
974362,Adds more mobs for a more challenging gameplay!
998921,"The mod incorporates elements from various mythologies, primarily Greek and Japanese, but not exclusively."
982676,A lot of new and powerful mobs to defeat!
1009739,"A mod designed to make minecraft a bit more lively, and also add features that were scrapped or deleted, and also add custom stuff."
998203,THE ULTIMATE HARDCORE CHALLENGE!!1!!!11!!!!
976699,"A mod that aims to add Zelda-themed features to the game, as well as Fredrick from cdotkom."
1018678,Adds Tameable yellow chickens that shoot lasers (and hammers)
961340,fry fries! Cut and fry!
1007985,"A mod that adds new paintings, blocks, & music discs"
1014305,Smelting gunpowder makes it explosive
905313,Adds shelves that hold 16 items and don't require a crafting table.
1015699,"Zodium and more, together with Mczen, you can have me do whatever you want and get the results for free."
987267,New ways to gain and store experience !
1002805,Adds Copper Coins Into Minecraft!
992885,Adds A Wand That Shoots Fireballs Like The Ghast In Minecraft!
1002873,Adds Gold Coins Into Minecraft!
993007,Adds A Wand That Shoots A Wither Effect In Minecraft~!
949233,The egg beds
966593,Weapons Guns Download Now
997527,Adds 4 new ore
998041,Zombie Animals that function like the Zombie Villager
923801,JAR file search utility
1003119,A mod for China Railway facilities
998761,A mod that aims to bring decor items & blocks that many roleplayers commonly require.
1001894,Adds knives to Minecraft!
998882,Adds salt to Minecraft!
907285,Brings back the Super Secret Settings from 1.7-1.8
978552,Eerie and Harsh Biomes!
1025464,"Various traffic lights, signs and poles."
997583,Makes ores actually drop ores
1017612,a mod i made that includes a new dimension several new structures and new effects
1004042,Simple Money
970163,A mod that gives your game always nightvision
1027378,let you craft an elytra
1011304,adds a lot of unfunny thingies and items
905058, contains the armor of the minerals plus some tools and also two villageri customized
988012,armor pickaxe etc a pink cheater
994548,adds new foods and drinks made of vanilla items
1012458,"This mod ads three mobs to the game 4 new items. many new mechanics,a weapon and a liquid type. trade with buisnessmen and evil buisnessmen to become rich.Have the police guard you by killing other hostile mobs. this mod was made with mcreator"
999578,The statement is frightening.
409245,So many ores it's hard to believe!
900563,"custom command block dimension and ohio biome. music featured in mod by tlt, dheusta, cyberneticZ, vivziepop, and idk if there is anyone else"
992493,you can craft diamond! just with dirt
1024117, create mobs with blocks!
957555,4 colored entities
1009124,Custom recipes for locometal (create: steam 'n' rails) and debug_stick (vanila minecraft)
989571,it is a mod with custom weapons that have custom abilities
968560,Old isle of berk mod for modpacks use
916720,do crazy flips and spins with this acrobatic mod
1023212,a slightly small mod with 9 custom items (4 3d weapons and 5 crafting items) and a structure based on the minecraft ancient city's and warden
994865,ender pearl and elytra craft-1.1.0
992678,Earn essence to make tools and armor unbreakable
946936,Add a few fantastic ore
1002166,Food Info mod allows you to view more detailed info about foods
990647,adds a fusing table which can be used to fuse two items together such as diamond and stone
1017739,This mods aims to readd two very powerful swords
962473,it adds a music disc that can be played on any jukebox that plays a funny youtube poop song.
1016888,improve things and make new items
911399,a spigot plugin improving servers
928776,adds a hardhat
1019044,found hidden barrels with random items inside.
991775,adds pink prisms with perpendicular prismarine and variations to world generation
1026292,Mod that aims to add some variety in regards of weapons in minecraft
991238,something like old alpha/beta hunger system + new hunger system
991255,makes common food hard to get and adds world size gamerule
913747,Mod that adds food and mobs 1.16.5
997544,this is a mod with legendary weapons
991981,Add the lepidodendron tree onto Minecraft 
922952,add lighting and fire weapons
1008410,lucky eggs 
972592,lunar new year
995452,"this mod adds a collection of meme items, some deadly weapons and others a hat and music disk "
977693,more food and drinks
989019,Custom mod for Official MinecraftZ modpack. Adds lootboxes gui and commands.
972462,adds various cosmetics and items
990452,a expansion focusing on adding more different tiers while adding more useful utilities
1024796,a game with pool tiles where you have to progress by scraping them 
938831,just a potato golem :3
944434,The API for Projekt Pinguin
988112,A mod that adds some random items. From peanut butter to a baseball bat.
900108,a mod that adds boss fights a new dimension and a couple weapons.
1012133,Simple keybound Dash mod.
1009956,adds raiden from mgr as boss
1006606,the update that adds new stuff. mostly memes
1011688,"Russian armor, suitable for military servers"
993466,sambusa ramadan traditoinal food
929397,adds a hardhat and savety vest
976539,adds new a new weapon to the game
936287,it's a food mod that make it you can mix foods in to one
933906,a mod for expansion of minecraft
923135,The mod that and sweets!
946563,cool wepons
980035,add a new weapon to minecraft: the wand!
1024229,thing ore is a new ore that allows you to make overpowerd weapons and armor and even travel to new dimensions.
