id,description
4I1XuqiY,"EMF is an, OptiFine format, Custom Entity Model replacement mod available for Fabric and Forge."
ohNO6lps,NeoForge's & Forge's config systems provided to other modding ecosystems. Designed for a multiloader architecture.
rcTfTZr3,..An Overly complicated Sound Mod...
Q1vvjJYV,"Shaderpack for Minecraft: Java Edition. It's bright, colorful, and distinct."
8shC1gFX,"BetterF3 is a mod that replaces Minecraft's original debug HUD with a highly customizable, more human-readable HUD."
QwxR6Gcd,Fixes Minecraft bugs found on the bug tracker
HVnmMxH1,"Preserving the elements of Minecraft with exceptional quality, detail, and performance."
8BmcQJ2H,"A 3D animation library for entities, blocks, items, armor, and more!"
MBAkmtvl,Abstraction Layer (but not really)™ for Blay's multiplatform mods
OVuFYfre,"Reduce FPS lag with block entities, as well as customize them with resource packs"
MdwFAVRL,A Pokémon mod for Fabric and Forge
QAGBst4M,Why's it called Puzzles you ask? That's the puzzle!
kYq5qkSL,Changes Fullscreen to use a borderless window.
u6dRKJwZ,JEI - View Items and Recipes
otVJckYQ,Re-implements MCPatcher's CIT (custom item textures from optifine resource packs)
uLbm7CG6,Reduces load times and adds fallbacks for languages
VSNURh3q,A Fabric mod designed to improve the chunk performance of Minecraft.
qyVF9oeo,"A Minecraft mod that provides realistic sound attenuation, reverberation, and absorption through blocks."
J81TRJWm,Just another boring library mod.
Wq5SjeWM,Customize Minecraft's menus with ease!
nfn13YXA,Clean and Customizable. Alternative to Just Enough Items/JEI.
QdG47OkI,Fixes gaps in Block Models and Item Models
WhbRG4iK,Adds a neat little particle effect to leaf blocks
5faXoLqX,"A modding library that contains new events, helpers, and utilities to make modder's lives easier."
nvQzSEkH,Shows information about what you are looking at. (Hwyla/Waila fork for Minecraft 1.16+)
89Wsn8GD,"Lets you use capes from OptiFine, LabyMod and other cape mods"
WwbubTsV,Your options shall be respected.
OsZiaDHq,A core mod
fM515JnW,#listentonature
rI0hvYcd,Little visual improvements by adding a bunch of new particles.
YBz7DOs8,Allows resource packs to define custom skyboxes.
O7RBXm3n,Take control over you inventory. Sort. Move matching Items. Throw all. Locked slots. Gear sets! And much more.
R6NEzAwj,"Transforming the visuals of Minecraft with exceptional quality, detail, and performance."
uy4Cnpcm,An open source library for other mods!
aC3cM3Vq,Enhances inventory management by adding various functions to the mouse buttons. 
2M01OLQq,View the contents of shulker boxes from your inventory
k2ZPuTBm,"The best way to play Minecraft. Enhanced Minecraft features in one simple mod.  Fast, friendly, and for everyone!"
Wnxd13zP,Clumps XP orbs together to reduce lag
Ua7DFN59,Library mod for YUNG's mods.
sGmHWmeL,Adds a list of mixins in the stack trace to crash reports 
G1epq3jN,Show more information about advancement requirements
PRN43VSY,A mod implementing the OptiFine/MCPatcher animated texture format
JuksLGBQ,Blazing fast custom GUI textures on Fabric and Quilt with built-in OptiFine custom GUI resource pack support
kYuIpRLv,The cape shouldn't be a static slab
kqJFAPU9,Improves the ingame HUD while riding a mount
twkfQtEc,"dynamic data pack and registration, villager activities, custom map marker and a lot more"
Wb5oqrBJ,See who you're chatting with!
onSQdWhM,Inventory Profiles Next GUI/Config library
G1hIVOrD,Resourceful Lib
8qkXwOnk,Increases the maximum length of chat history.
ccKDOlHs,"A general utility, GUI and config library for modding on Fabric and Quilt"
3qsfQtE9,Take insanely large screenshots because why not
codAaoxh,Common library with a built-in configuration system
kCpssoSb,Modifies how worlds are loaded to speed up loading times.
fFEIiSDQ,"Vanilla+ additions: Jars, signposts, faucets, weather vanes spring launchers, sconces, planters, lights, decoration and automation"
nU0bVIaL,"Accessible, Data-Driven, Dependency-Free Documentation for Minecraft Modders and Pack Makers"
rlloIFEV,"Unique and upgradeable backpacks with customisation, Curios API/Trinkets integration and more!"
3IuO68q1,Adds resourcepack features and a GUI to more conveniently configure OptiFine alternatives.
HpdHOPOp,FabricSkyBoxes Interoperability for MCPatcher/OptiFine Skies
ordsPcFz,Adds a Kotlin language loader and provides some optional utilities.
lfHFW1mp,Real-time mapping in game or in a web browser as you explore.
rUgZvGzi,A mod that adds sprite animations for edible and drinkable items.
nrJ2NpD0,Allows for you to control and display your music in-game!
ZcR9weSm,A mod that hides or changes the crosshair dependent on context
x1hIzbuY,Lets you return to the Title Screen early while your world is still saving in the background!
UVtY3ZAC,Provides a way to get enchantment descriptions from enchanted books.
M08ruV16,Allows for render distances greater than the server's view-distance
n6PXGAoM,A Minecraft mod that improves the statistics screen and makes it more useful.
kkmrDlKT,A library mod for adding biomes in a simple and compatible manner!
xv94TkTM,Adds a search bar to the Key-Bindings menu
wnEe9KBa,A Fabric mod designed to improve server performance at high playercounts.
cVNW5lr6,Highlights newly picked-up items. Simple and convenient.
gedNE4y2,animate the player
5aaWibi9,A data-driven accessory mod
Xy8aRQKS,Welcome to a more destructive Minecraft than you've ever seen before!
iG6ZHsUV,Cull leaves while looking hot!
Xbc0uyRg,Building Tools and Aesthetic Technology
Jw3Wx1KR,Get rid of ghost blocks by requesting resends from the server
1KVo5zza,Improve your graphics and performance with this simple modpack. 1.20.6 beta!
gc8OEnCC,"New Biomes, mysterious rituals and Mobs for your End"
l6YH9Als,"spark is a performance profiler for Minecraft clients, servers and proxies."
DFqQfIBR,Completely Customize the way others see you play in Discord!
BAscRYKm,Every block deserves a friend.
MS1ZMyR7,Adds a configurable numerical ping display to the player list
3azQ6p0W,"Favorite/pin/bookmark certain worlds, which will always be at the top of the list and cannot be deleted."
fuuu3xnx,"Searchables is a library mod that adds helper methods that allow for searching and filtering elements based on components, as well as offering built in auto-complete functionality."
o1C1Dkj5,A complete redesign of Minecraft's dungeons!
qJDfP7WN,Adds a way of adding information to the user's title screen.
kmwfVOoi,[WIP] A gameplay shaderpack based on complementary reimagined that has coloured block light with sharp shadows
Fb4jn8m6,Break down your trees by only cutting one piece of it
HjmxVlSr,A long-awaited and much-needed abandoned mineshaft overhaul!
vE2FN5qn,Improves performance by tweaking mob despawn rules. Say bye to pesky unintentional persistent mobs.
T8MMXTpr,Adds sounds for drip particles landing
Z2mXHnxP,A complete redesign of Minecraft's Nether fortresses!
3dT9sgt4,A complete redesign of Minecraft's ocean monuments!
GchcoXML,"Unofficial Fork of ""Iris"", made to work with FML"
1OE8wbN0,A library all about color! Provides lots of color-related functionality for dependent mods.
kidLKymU,A complete redesign of Minecraft's strongholds!
4EakbH8e,Farmer's Delight is a mod that gently expands upon farming and cooking in Minecraft.
5sy6g3kz,"⚔️ Easy, spectacular and fun melee combat system from Minecraft Dungeons."
DOUdJVEm,Adds the best controller support to Minecraft Java edition!
nPZr02ET,Ensures correct destinations when travelling back and forth through Nether Portals in Multiplayer.
qANg5Jrr,"Open a LAN server to anyone, anywhere, anytime."
gPCdW0Wr,Client-side mod that makes bubble particles pop and lets them rise realistically to the water surface.
K01OU20C,"A data attachment API that is easy, modular, and extremely fast."
dspVZXKP,Makes grass and related blocks use the top texture on the sides. Works with other resource packs!
ZP7xHXtw,"Makes resource packs load in the background, allowing you to do other things while waiting!"
8oi3bsk5,"Explore almost 100 new biomes consisting of both realism and light fantasy, using just Vanilla blocks. Complete with several immersive structures to compliment the overhauled terrain."
Nv2fQJo5,"A Minecraft Mod to record, relive and share your experience."
FWumhS4T,Improve Minecraft CPU scheduling
ftdbN0KK,Bad Packets allows packet messaging between different modding platforms.
jawg7zT1,Dust is a Minecraft mod that adds the white ash particle from the Basalt Deltas biome to the underground to simulate dust!
BdKIyOLe,See your held items when in a moving boat!
fRiHVvU7,A featureful and accessible item and recipe viewer
SfMw2IZN,Fast nvidia only rendering engine for sodium
NK39zBp2,Adds a blur effect to all GUI backgrounds - now for Fabric (and Quilt)!
G1s2WpNo,Improves third person camera view.
vSEH1ERy,Improve and tweak Minecraft thread scheduling. Fork of Smooth Boot for ≥1.20
MpzVLzy5,"More Biomes, More Mobs, More Tools for the fiery Dimension"
t5FRdP87,Adds overhauled witch huts to swamps!
2RKFTmiB,Fixes Tooltips from runnning off the screen.
5FFgwNNP,"The official modpack of the Cobblemon mod, for Fabric!"
ItHr72Fy,"Experience Fullbright UB in Sodium, Optifine and Vanilla"
BgNRHReB,A Library Mod for the BetterX Team
DjLobEOy,"Spice up your world with new villages, pillager outposts, and even new ships!"
9NM0dXub,Replace those boring advancement popups with something flashier.
REfW2AEX,Forge/Fabric/Quilt mod that adds the ability to walk around while in inventories
atHH8NyV,Give your rare items a fancier tooltip! Also adds additional tooltip configuration options.
tpehi7ww,"A Structure Datapack adding dungeons, taverns and other structures to find while you explore the world."
yHf7SALy,Speeds up entity animation calculations!
tagwiZkJ,No more recipe conflicts! Adds an option to choose the crafting result if more than one is available.
2BwBOmBQ,An overhaul of the main End Island where the dragon fight takes place!
fPetb5Kh,Allows you to locate biomes anywhere in the world.
yM94ont6,"When crashing, you can go back to the title screen and keep playing, without needing to restart, alongside other things to make crashes more pleasant."
z9Ve58Ih,A complete redesign of Minecraft's jungle temples!
LN9BxssP,Config Lib makes dealing with config files just a bit easier.
KJe6y9Eu,"A simple mod that adds seasons to the game, dynamically changing biomes as you play."
M1953qlQ,Resourceful Config is a mod that allows for developers to make cross-platform configs
XNlO7sBv,A complete redesign of Minecraft's desert temples!
2YyNMled,"Dramatic Skys is an add on pack that will make the skies in your game HD with realistic clouds and lighting. This pack works with any other resource pack, just simply add it over the other pack on the selection screen!"
yoJJjRRE,Make items blink when they're about to despawn
fgmhI8kH,"Enhances and creates new villages and pillager outposts, that perfectly fit into your Minecraft world."
pJmCFF0p,Make your house a home!
uCdwusMi,See farther without turning your game into a slide show
BWloQ9jK,"Stendhal is a client-side Fabric mod offering new and enhanced visual utilities for books, signs, anvil and the in-game chat."
kfqD1JRw,Items stay inside of crafting tables and are also rendered on top. It's really fancy!
50dA9Sha,Make your game like the trailers! Dynamic animated entities to freshen your Minecraft experience.
yfDziwn1,Unofficial translations for the Sodium Minecraft mod
ZzjhlDgM,Adding depth to Create's rail network & steam system
vvuO3ImH,A flexible and expandable accessory/equipment API for users and developers.
V8XJ8f5f,An REI addon that adds profession workstations
bXX9h73M,Adds controller support and enhanced controls overall.
EIa1eiMm,Reintroduces vanilla-like smooth lighting to non-full blocks (e.g. dirt paths and how they have dark shading when directly next to a full block) when using Sodium. 
H5XMjpHi,Enables the third-person Model in first-person
ox3rDp1B,BedrockIfy is a fabric Minecraft Mod that implements some useful Minecraft Bedrock Edition features into Minecraft Java Edition.
sk9rgfiA,A performance-enhancing client mod (based on Sodium) prioritizing reliability & mod compatibility
tN4E9NfV,An educational tool that explains chat reporting in a simple and neutral way.
Ht4BfYp6,Adds beautiful naturally generated bridges throughout the world!
fnAffV0n,"A Minecraft 1.19+ mod which features more blocks, items, armors, and hidden mysteries to complement the new Deep Dark biome. Our website: https://kyanitemods.dev"
bD7YqcA3,A mod to hide or customize armor rendering. 
vuGFx44e,Provides additional tooltip info for items
yjgIrBjZ,Authenticate yourself and re-validate your session
rOUBggPv,SuperMartijn642's Core Lib adds lots of basic implementations that allow for similar code between different Minecraft versions!
Q2OqKxDG,Better Advancements tries to improve the UI and UX for the advancements system in minecraft 1.12+ in a modded environment
SaCpeal4,"Adds sleeping bags and hammocks for, respectively, portability and turning day to night, without setting new spawns. Comes in 16 different colors!"
cl223EMc,A Library mod for easy structure config and runtime datapacks.
XZNI4Cpy,Simple vanilla style storage mod
LNytGWDc,Aesthetic Technology that empowers the Player
t5W7Jfwy,"Lets you change the size of most entities, shrinking them smaller or growing them larger"
uvpymuxq,"Makes the leaves bushy, while being compatible with other resourcepacks and mods."
gF3BGWvG,"Adds the ability to claim chunks and make player parties, integrates with Xaero's Minimap and World Map"
SgJ1iW80,Ripoff of the Better End mod's sky renderer in a standalone mod for a client-side only usage.
joEfVgkn,Carry On allows you to pick up Tile Entities and Mobs and carry them around!
kKwy3HU9,Changes the renderer of the bed to use json models instead of a block entity renderer! 
ZfQ3kTvR,Launch at the speed of light.
JrvR9OHr,"🚪 Multiple identical double doors, trapdoors and fence gates can be opened simultaneously."
Vz96hXMh,Highlight changes the visualization of specific blocks in the game to have more aligned selections to their models.
fALzjamp,"Pre-generates chunks, quickly and efficiently"
lL2MtE37,Localizes the wither and dragon death sounds.
TqCKvqjC,"Load resources on game start, like a resource pack, but enabled by default."
LOpKHB2A,"Teleport back to activated waystones. For Survival, Adventure or Servers."
c7m1mi73,A simple mod to solve various problems with packets.
ZYgyPyfq,"Extra structures, features, and vanilla+ content suitable for any modpack!"
lWDHr9jE,"Massively altered world generation with mountain ranges, underground rivers and more!"
6AQIaxuO,What the hell is that?
r4GILswZ,An even more detailed experience with quadruple-resolution textures!
4ZqxOvjD,"Unofficial Fork of CaffeineMC's ""Sodium"", made to work with FML"
8DfbfASn,Adds various elegant -and likely hostile- roguelike dungeons and structures that generate on your worlds!
b1ZV3DIJ,A crossplatform (Forge/Fabric) solution to connected block textures for 1.19.4+
TQTTVgYE,Take full control over your vanilla game
H7N61Wcl,🚏 Allows players to dismount/remove/exit entities/mobs from mounted entities without breaking them.
Wa72oW2W,Mod for optimizing signs and beacons.
orfTV6nk,"The classic Minecraft experience but in amazing 128x, 256x, and 512x HD! Gives a shaders feel without the awful FPS drop!"
gqRXDo8B,🧑‍🌾 Gives all villager entities a default or custom name to liven up the world.
DynYZEae,Render the GUI and screens at a lower framerate to speed up what's really important: the worldrendering.
v3CYg2V9,Addon for FancyMenu to customize the loading screen.
PWERr14M,"Brand new update mod for ""Minecraft Mod Language Package"".
全新的「简体中文资源包」自动更新模组。"
F8BQNPWX,Adds new immersive wildlife with realistic behavior!
lOOpEntO,Removes arbitrary limits on Minecraft's attribute system. Fixes MANY mods!
muf0XoRe,Adds more variations of vanilla structures and features such as a Jungle Fortress!
DMu0oBKf,"Allows you to rotate, balance or clear the crafting matrix by the press of a button, in any (supported) crafting window."
g96Z4WVZ,Optimization mod that focuses on things other than rendering
eTy17BBS,Uses the attack indicator for more than just melee attacks 
8zYE8DiW,Simple client side mod that makes titles displayed on-screen always fit inside the screen space.
HdwRs3kc,Minecraft asking you if you want to load a custom world is annoying. Let's fix it!
XlqZTP4W,"Trees are round in real life, why aren't they in Minecraft?"
1bZhdhsH,A proximity voice chat mod with audio positioning and lots of features
2u6LRnMa,"A crossplatform API for devs that makes transfer and storage of items, fluids and energy easier, as well as some other helpful things"
qvIfYCYJ,The standard libraries of the Quilt ecosystem. Essential for your modding experience on Quilt!
sbgVdyNC,Hypixel reward claim in-game.
R2OftAxM,A cozy expansion to farming and cooking!
x9BrsVME,"This mod fixes many Minecraft macOS input bugs. It makes scrolling with shift work properly on macOS, left click + control = left click (instead of right click) and more fixes!"
POQ2i9zu,"Adds outvoted and forgotten mobs from the mob votes in a believable vanilla plus style. (Copper Golem, Glare, Moobloom, Iceologer, Barnacle, Wildfire, Illusioner, Rascal, Tuff Golem)"
x3HZvrj6,"A bunch of rustic aircraft to travel, transport, and explore!"
6FtRfnLg,Microsoft flight simulator for Minecraft elytras.
OZBR5JT5,"Be ready for overhauled anvils! Items stay, better name tags, many tweaks!"
meZK2DCX,API that facilitates the creation of features.
3ufwT9JF,"Live long and prosper, Ad Astra!"
EpQFjzrQ,A good performing fantasy stylised shaderpack with colored lighting and fancy volumetrics
mSQF1NpT,Adds accessory support to the elytra so you can fly and wear chest armor at the same time. Formerly known as Curious Elytra and Elytra Trinket.
uE1WpIAk,"An Adventure & Exploration mod like no other with unique, magical, realistic, and detailed biomes!"
rcLriA4v,Improves your keys & controls setup by providing modifier keys and making multi-functional keys a thing.
7lrBqj5C,🙅 Removes those pesky slimes when you're trying to be creative in a superflat world.
j2HhbEE7,Villager trading for EMI.
bRFWnJ87,Mobs self feed with feeding trough
9hx3AbJM,"Enchanting tables as they always should have been! Items stay after closing, and easy re-rolls."
bpii4Xsa,Ambient and environmental sounds in keeping with vanilla Minecraft
ziOp6EO8,A library mod containing code used across Corgi Taco's mods.
kU1G12Nn,Create Crafts & Additions extends Create and acts as a bridge between electricity and kinetic energy
dlNu0RQY,Adds splashes and wakes while traveling on water
BYfVnHa7,"The leading, well-researched optimization modpack with a focus on pure performance."
4WWQxlQP,A mod that aims to optimize the minecraft server.
hl5OLM95,A subtle overhaul of vanilla Overworld biomes
oY2B1pjg,Port of Sodium Extra to work with Embeddium/Rubidium on (Neo)Forge
KuNKN7d2,Optimises worldgen performance for a better gameplay experience.
qbbO7Jns,"A loot drop (chest, block, entity) plugin for the EMI Recipe and Item viewer."
AVq17PqV,Quick leaf decay from cutting down trees. Built for fast performance and mod compat!
7zlUOZvb,Based off Geckolib but now just for my own needs.
zrzYrlm0,Hostile mobs dig out of the ground or poof into existence when they spawn!
GmjmRQ0A,Making automation for Farmers Delight more sensible
GMA8jFBD,Highlights the mobs that are preventing you from sleeping
p19vrgc2,Fusion allows resource packs to use additional texture and model types such as connected textures!
Dxv5rpnB,"This mod forces ""CTRL+Q"" to be used to drop a stack of item"
eE2Db4YU,A lot of unique and vanilla-faithful armor sets.
LXJlc5WJ,Delays client chunk unloading
GNxdLCoP,"Adds culling to leaf blocks, providing a huge performance boost over vanilla."
pJogNFap,Better advancements screen
JiEhJ3WG,Adds new variants to existing mobs.
w0TnApzs,"The original Minecraft texture feel, with double the resolution and double the fun!"
FCr31KmZ,Library mod to easily play background sound in menus and worlds.
wdLuzzEP,"Gamma / Brightness / Night Vision mod, making it easy to see in the dark. Basically Fullbright for Fabric."
JtifUr64,"Epic, RPG-like titles when entering biomes & dimensions!"
e9V6wFcR,An addon mod for Farmer's Delight Fabric that adds many more crops and functionality to the base mod
Z5b0cAlD,Click through signs and item frames to chests
MI1LWe93,A mod which overhauls the vanilla creepers!
EltpO5cN,A mod that makes it so nobody misses out on Loot! All loot chests are instanced per player and visually unique.
bK3Ubu9p,"Adds Spears, Glaives, Chakrams, Katanas, Greathammer/axes, Rapiers, and many more weapons!"
705gWllI,EMI addon that appends status effects in EMI and provides information about each status effect.
CFX9ftUJ,"A vanilla and add-on friendly, open-source mod that adds in more tiers of Netherite!"
njGhQ4fN,Highlights items that match the current search in REI
Rs6c7WyL,Improves biome colors
ulloLmqG,Vanilla-styled Minecraft furniture mod.
ufdDoWPd,Minecraft modding library
6SLU7tS5,🌙 The Dark Mode Resource Pack for Minecraft: Java Edition
bRAPbNyF,"A lightweight, highly configurable Vein Mining enchantment for tools."
r0v8vy1s,An efficient and non-locational redstone dust implementation
XxWD5pD3,AE2: A popular automation and storage mod
3BeIrqZR,Players choose an Origin at the beginning of the game to gain benefits and drawbacks
Y8uFrUil,small utility library used in my mods
pZ2wrerK,Create your own emotes in Minecraft.
hEOCdOgW,No-compromises lighting engine optimization mod
izsIPI7a,"MakeUp aims to provide the best quality / performance ratio, building a shader that can be adapted to anyone's resources."
Kw7Sm3Xf,Improves client performance and play experience on large multiplayer servers.
LMIZZNxZ,A shader pack created to convey the style of the cancelled Super Duper Graphics Pack and other popular Minecraft titles.
qnQsVE2z,A Quark is a very small thing. This mod is a collection of small things...
HSfsxuTo,An integrated vanilla-friendly collection of new dungeons and structures
pFgXNvCD,Add audio elements to FancyMenu layouts.
FzyTKtVF,Vanilla stone types in plenty of variations for all your building needs.
defK2XM3,adds a new endboss and other creatures
KjL0jE2w,Feel the pain!
59ZceYlU,"Pixelmon adds many aspects of the Pokémon into Minecraft, including the Pokémon themselves, battling, trading, and breeding. Pixelmon also includes an assortment of new items, including prominent items like Poké Balls and TMs, new resources like bauxite ore and Apricorns, and new decorative blocks like chairs and clocks."
iZ10HXDj,Reduce GPU and CPU usage automatically when no user operation exists.
IYY9Siz8,"The platform-agnostic, Architectury based library used in all of JamCoreModding's mods"
sTZr7NVo,A better way of transport
ZX66K16c,Be notified about all the things you've just collected.
Bh6ZOMvp,Allows villagers to replant the correct seed & allows them to use modded ones
zCh7omyG,Discover artifacts & fossils by encountering new structures that'll enhance your adventure and exploration!
GuE5FpvB,Fancy and simplistic biomes and structures!
u5Ic2U1u,"A ""small"" clientside mod featuring item scrolling, inventory sorting, item refilling and more!"
NRLPy2mk,Ship default Data- & Resourcepacks with Modpacks!
CCNUnbXG,Fight enemies back through grass and other similar obstructions!
SNVQ2c0g,Mineblock's Repeated Utilities
2Uev7LdA,A Minecraft mod which adds better grass and snow to the game.
iRfIGC1s,Rewrites the light engine to fix lighting performance and lighting errors
U5SedJ9S,New improved boss bars!
h3XWIuzM,Makes the loading screen darker.
f4P7fNKN,Makes chat history much longer
b5GyyYkp,Adds accessory support for the Totem of Undying so you can place it in a slot and don't have to be holding it. Formerly known as Curio of Undying and Trinket of Undying.
ObXSoyrn,A simple to use Discord RPC plugin for Minecraft and Modpacks
8pJYUDNi,"Chatting is a chat mod adding utilities such as extremely customizable chat tabs, chat shortcuts, chat screenshots, and message copying."
OoOVj3J3,Changing the in-game models to allow for better animations and subtle effects.
khMbd0K1,Hypixel Skyblock's most popular resource pack! Only compatible with Optifine on Minecraft 1.8.9.
oHGMwNDR,"A villager extension mod, adding new villager types, trades and beautiful workstations."
IKARgflD,Fences connecting diagonally? Wait. That's illegal.
ZVzW5oNS,"A nether biome overhaul combined with challenging structures to conquer, unique weapons to obtain, and tricky mobs to defeat."
hAt6ty93,More detail about armor in Armor bar!
uPWCQrVL,UI sounds & more.
64FYdx5z,Custom blocks and items to make your Fabric Seasons experience better.
HXF82T3G,"Adds 50+ unique biomes to enhance your world, with new trees, flowers, and more!"
HQsBdHGd,"An up in difficulty for Minecraft's final boss.
With more health and more attacks, the fight finally feels like the final confrontation."
dOGM7ccu,Modifes spiders to be more realistic
RG50cUrX,A Minecraft building blocks mod
c4aa1Mqq,Addon for the inmis mod which enhances the visuals
XeEZ3fK2,A highly customizable freecam mod.
zvcMI4tg,A simple mixin mod that adds Arcmetica support directly into OptiFine. No more need for DNS rules.
nF6YaBfO,Hypixel-focused Quality of Life mod.
ncKjyGm3,Remove fade out animations in Minecraft (1.20+)
EOig9U0j,Still running around bartering manually? Let's put those lazy piglins to work instead!
YOQCucah,Custom Entity Models suport on Fabric
E6FUtRJh,Decorate your home!
6xKUDQcB,Disable warnings for outdated resource/data packs
jJfV67b1,A Lightweight Library
B0g2vT6l,Rechiseled allows you to chisel blocks into various decorative blocks with connected textures!
GtqG8z1h,Configuration Library for Fabric Mods
uEfK2CXF,"JEI integration that adds info on mobs, world gen, villagers and many more!"
fThnVRli,Jade 🔍's additional mod supports for Fabric
CVT4pFB2,OpenAL-based library mod for playing background music.
lsUDPMOT,Terrestria is a detailed and vibrant biomes mod for Minecraft running on the Fabric mod loader.
wGKYL7st,"🧶 Adds combat roll ability, with related attributes and enchantments."
EQWX2WiO,"A stylized, horror themed Iris shaderpack with high customizability and performance."
XvoWJaA2,🪄 Data driven magic library
ZJTGwAND,Make your journey to the End more Challenging and Engaging with End Remastered!
p1WH6sHr,"Enter a world of fear and mystery with From The Fog, a Minecraft mod that brings the legendary Herobrine to life in a spooky and immersive way true to the legend."
yWSAtnfH,BisectHosting Server Ordering Menu
XD7XOrAF,"Expand health, armor and armor toughness bars beyond vanilla. Nice and compact without confusing colors."
ErpAAAaf,Refined item interactions
8ooWzSQP,🔮 Spell Power entity attributes with related status effects and enchantments
eiktJyw1,"Universal Wood Compat: Quark, Twilight Forest, Twigs, Another Furniture, Farmers Delight, Macaw's,  Valhelsia, Architects Palette, Deco Blocks, Crayfish FM"
rox3U8B6,Minecraft with the style of the trailers
8pcjMDgj,Rule the village! Trade with every villager at once!
XpzGz7KD,"Customizable elytra mod with trims, banner patterns and more!"
RLzHAoZe,"In-game resource pack, data pack and shader browser and updater"
TWsbC6jW,Adds >200 new structures that integrate perfectly into your world!
GcWjdA9I,"A library mod for client-side mods. Contains most of the common/shared code of masa's client mods, and adds some inter-operation support between the dependent mods."
r3VgI4QN,Reacharound block placement.
zfbCkvdZ,A Kotlin Library Mod
CU0PAyzb,Automatic data & resource pack loading made easy.
BpwWFOVM,"Adds bounty boards, giving rewards for collecting different blocks and items."
RphJSnEs,"Shaderpack with very high customization. If you like effects, this shaderpack is made for you!"
5ibSyLAz,"Quick, simple, and lightweight inventory sorting"
pvcsfne4,"Add-on for the Farmer's Delight mod. Adds 2 new professions to villagers. Chef and Cook.

Depends on Farmer's Delight."
HaaH232J,"Disable's the Experimental Settings popup, which appears when you create or load world."
uc3VdfLM,Adds knives to Farmer's Delight Fabric for many other mods
4XJZeZbM,"A Library for Forge and Fabric with utilities such as Render Features, Recipe Books and Wood API"
4VYO7ir0,Farmer's Delight compatibility for Fabric Seasons
jorDmSKv,Powerful torches to prevent mob spawns around your home in a large area.
LPjGiSO4,"Transforms the boring Vanilla end into an alien dimension with the most surreal terrain imaginable. Topped with a couple of new biomes to add to the experience, whilst keeping the end desolate."
Cnejf5xM,Allows you to harvest crops by right clicking
YhmgMVyu,The Aether Team presents the original Aether mod! Maintained and kept up to date for modern versions of Minecraft and fully compatible with multiplayer!
iJNje1E8,Not a magic mod. · Snow Gravity & Accumulation · Snow-covered blocks · Tweak snow behaviors
RPOSBQgq,Inventory update concept for hotswapping items.
yUBXc3AH,Open source library for a couple of Globox_Z mods
9mtu0sUO,Yeet the laggy reversed DNS lookup for pure IP server addresses
blWBX5n1,Instantly closes the loading terrain screen on world changing and drastically reduces the resource pack loading screen duration
V5ujR2yw,Physics in Minecraft
B3HO5V57,A Fabric mod that fixes gaps in generated item models. 
2ecVyZ49,Speed up the loading of your world.
XVnUIUAQ,"Adds snow under trees in snowy biomes, making the biomes more immersive."
Lq6ojcWv,"Enderman Overhaul adds over 20 new enderman variants, each with their own sounds, models, and animations!"
x02cBj9Y,Adds customizable bars to the status effects overlay to show the remaining duration of effects.
MR1VIQJJ,User-friendly errors for Mixin conflicts.
